Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L),Salinity (ppt),Ammonia (%),Nitrates (%)
Goldfish,22.06,8.27,9.59,7.43,3.47,2.51,28.26
Salmon,11.8,6.93,0.16,9.86,17.07,2.53,9.58
Salmon,11.41,6.93,1.25,6.39,20.12,1.33,49.68
Salmon,11.39,7.3,7.95,8.63,30.53,1.37,38.58
Tilapia,28.97,7.55,37.4,,2.0,1.04,
Salmon,12.55,7.03,6.66,7.07,28.62,1.87,28.84
Catfish,22.15,6.3,63.27,3.68,3.3,2.86,33.56
Bass,20.32,6.14,9.64,7.41,3.37,2.55,25.65
Clownfish,26.91,7.81,4.28,5.76,29.88,0.08,0.39
Catfish,25.44,7.09,47.44,6.86,2.05,0.77,36.27
Eel,11.3,7.41,27.56,5.07,7.58,1.21,7.72
Trout,17.47,7.03,1.43,10.65,0.41,0.64,47.4
Clownfish,25.82,8.04,1.73,,29.68,2.16,45.8
Eel,19.76,,29.95,6.61,16.07,1.68,
Goldfish,19.89,8.16,8.92,6.01,1.95,1.43,41.41
Trout,15.94,7.15,8.44,9.6,2.58,1.03,12.14
,16.78,6.32,12.45,5.0,10.17,1.23,24.65
Trout,16.19,,9.0,8.63,3.8,0.86,20.75
Bass,22.89,7.38,7.84,5.38,9.54,2.1,23.39
,13.95,6.75,5.65,,2.81,1.09,19.53
Bass,20.19,6.57,42.05,4.98,7.25,0.05,31.37
,25.68,8.11,0.53,7.33,29.99,2.22,3.81
Catfish,23.58,7.75,56.43,6.07,1.4,1.23,
Trout,13.91,7.32,2.08,7.93,1.77,0.44,9.16
Bass,22.08,6.96,43.84,,7.98,1.44,34.91
Clownfish,26.0,8.39,,,29.43,2.61,27.96
Clownfish,25.15,7.99,4.91,7.56,28.46,1.16,10.54
Catfish,26.64,6.71,89.46,5.94,4.07,1.71,25.11
Clownfish,26.6,8.08,3.49,7.42,33.86,2.52,8.19
Trout,17.16,7.05,4.01,8.13,2.19,2.73,42.99
Trout,12.56,6.89,1.31,10.1,4.36,2.99,30.64
Trout,,7.14,8.41,7.48,0.06,0.54,35.78
Catfish,21.26,7.41,56.53,4.77,3.01,0.31,23.03
Goldfish,23.39,7.33,8.88,5.31,3.03,1.88,31.77
Goldfish,,8.2,12.01,6.35,3.56,2.52,42.5
Goldfish,17.65,7.87,15.92,7.2,0.83,2.15,1.58
Eel,16.04,7.99,24.46,6.61,20.64,1.36,38.17
Tilapia,24.3,7.49,21.98,7.33,4.64,1.77,39.13
Clownfish,25.22,2.8185129998086182,0.08,7.49,28.66,2.44,48.75
Catfish,25.06,,31.06,3.13,2.37,0.68,47.1
Tilapia,28.45,7.01,41.68,6.93,1.94,1.13,6.49
Eel,12.75,6.45,13.93,5.1,22.64,0.16,24.1
Salmon,14.48,6.56,0.76,11.92,,1.71,45.53
Clownfish,27.52,8.12,1.96,5.28,30.26,1.91,30.75
Trout,10.17,6.65,0.3,8.92,4.3,1.15,36.23
Eel,20.91,7.18,15.64,4.9,5.59,2.8,4.13
Trout,14.63,7.25,4.45,11.98,4.75,2.56,2.91
Salmon,14.92,7.45,4.36,9.12,18.24,2.23,48.96
,11.38,6.61,5.36,8.99,1.62,2.92,1.48
Tilapia,29.85,,19.49,7.21,4.89,2.45,35.59
Goldfish,,7.56,5.79,5.63,2.97,1.09,34.67
Clownfish,26.65,8.22,2.84,6.19,29.12,0.64,23.49
Clownfish,24.59,8.1,4.92,6.52,28.96,2.39,7.19
Goldfish,16.51,7.31,14.23,7.95,1.19,0.27,7.23
,21.31,6.71,,5.01,20.41,,11.05
Catfish,21.39,6.85,73.16,4.74,4.07,1.19,30.77
Salmon,14.92,6.56,9.56,10.52,11.2,1.34,21.39
Clownfish,25.43,8.22,2.47,5.8,31.31,1.53,16.7
Salmon,8.27,7.32,4.34,6.35,27.79,0.17,6.9
Salmon,10.91,6.98,0.54,8.77,10.49,0.91,43.39
Clownfish,24.35,7.97,2.14,6.31,31.27,2.67,3.09
Trout,11.43,6.77,0.32,7.93,4.57,2.65,28.22
Salmon,14.44,6.81,3.24,11.38,22.26,0.07,36.86
Clownfish,27.7,8.15,2.0,5.28,29.98,,42.6
Clownfish,24.03,8.38,1.93,6.88,30.85,2.9,36.11
Tilapia,29.8,7.16,45.83,,1.04,2.45,
Salmon,11.9,7.22,2.19,,29.77,0.87,
Bass,22.1,7.43,8.07,7.5,1.11,0.03,3.91
Bass,24.35,6.26,24.15,5.85,3.79,1.97,15.78
Bass,15.28,6.39,17.4,7.06,6.25,0.45,9.69
Bass,18.57,7.34,33.55,8.0,5.04,1.15,17.65
Bass,21.85,,6.71,,5.35,2.74,18.65
Tilapia,22.06,6.59,35.42,7.44,3.68,1.79,21.23
Trout,14.29,7.06,9.56,7.03,4.54,0.18,3.87
Trout,14.45,7.07,7.72,8.37,2.52,0.38,30.32
Bass,23.55,6.36,45.36,9.05,5.03,1.09,25.52
Eel,16.53,6.84,14.12,3.99,25.14,1.3,31.39
Goldfish,14.05,8.38,,5.16,4.43,1.49,46.31
Clownfish,24.29,8.32,3.09,5.45,34.6,0.9,44.34
Salmon,9.86,6.88,7.6,7.5,26.33,1.64,48.89
Goldfish,15.66,8.46,6.84,5.08,3.35,2.8,46.02
Goldfish,14.9,7.52,11.46,5.7,3.54,2.5,6.66
Salmon,12.55,6.64,4.19,9.03,24.17,2.08,2.75
Clownfish,26.69,7.82,1.33,5.75,28.6,1.54,18.11
Goldfish,24.02,7.13,17.83,6.61,4.32,2.8,30.15
Goldfish,14.43,7.77,6.04,5.77,,0.77,21.99
Catfish,26.17,7.96,13.62,6.73,,2.74,28.77
Bass,21.87,6.84,34.78,10.0,,2.69,41.6
Salmon,13.43,7.32,5.19,,,2.47,30.35
Trout,13.11,7.45,6.7,9.95,4.18,1.87,4.48
Clownfish,24.55,,3.28,5.5,29.19,1.2,8.74
Salmon,10.14,7.25,8.43,6.69,20.87,2.49,14.69
Bass,21.55,7.08,42.04,9.77,8.96,2.52,46.01
Salmon,14.55,7.2,8.05,7.94,23.9,1.6,49.8
Bass,15.42,6.0,32.92,4.47,2.38,2.19,3.51
Clownfish,24.11,7.93,2.15,13.298249142250619,31.11,2.12,15.8
Tilapia,25.73,7.15,30.28,7.73,4.16,1.11,0.23
Eel,24.52,,12.99,6.74,11.87,2.27,24.3
Goldfish,12.38,8.18,13.79,6.31,3.39,1.48,30.98
Catfish,21.01,,,5.22,4.87,,13.44
Eel,6.42,7.02,26.46,4.86,22.04,0.47,8.43
Trout,11.64,6.7,4.27,8.83,0.48,0.35,41.78
Tilapia,25.63,7.37,14.39,7.55,1.39,0.68,33.61
Clownfish,27.12,8.26,1.24,7.18,32.47,1.97,20.73
Goldfish,24.68,2.3744662719819525,19.18,6.21,4.84,0.33,39.51
Clownfish,24.98,8.39,0.4,5.33,32.59,0.67,23.93
Trout,17.92,7.16,2.83,9.09,1.44,0.82,42.89
Goldfish,15.0,7.38,14.28,5.57,0.99,1.32,32.65
Bass,22.11,6.8,42.29,5.02,6.68,1.64,12.18
Bass,22.11,7.43,22.79,6.62,1.07,2.87,40.29
Bass,21.42,7.18,23.71,6.36,1.3,1.9,25.18
Goldfish,,7.86,12.71,5.58,3.49,1.61,43.45
Tilapia,29.22,7.29,45.86,5.46,2.84,1.54,8.54
Tilapia,26.8,7.67,40.03,4.1,,2.62,28.9
Goldfish,10.09,,14.88,5.05,4.19,2.15,20.79
Bass,16.52,7.05,33.6,7.36,1.55,0.04,3.64
Tilapia,22.91,7.83,24.23,4.63,,0.65,17.35
Tilapia,22.58,7.51,43.17,6.74,3.27,2.57,7.3
Tilapia,22.92,7.05,36.36,6.39,4.92,2.48,5.27
Trout,12.37,6.71,9.3,11.77,2.45,0.38,42.81
Bass,19.12,6.82,48.57,6.3,4.89,0.84,0.73
Salmon,12.59,7.19,5.03,8.81,13.27,0.84,29.17
Goldfish,22.05,7.84,18.54,6.16,4.17,0.26,15.33
Salmon,8.69,6.64,4.12,7.55,19.71,0.62,12.96
Catfish,23.7,7.88,40.2,7.0,1.03,2.92,28.98
Bass,21.23,6.14,8.28,7.23,8.8,2.84,12.99
Bass,15.89,7.0,39.28,8.44,9.21,2.28,3.15
Catfish,27.9,6.27,,6.04,3.8,0.63,4.63
Goldfish,21.26,7.25,6.32,5.86,1.37,1.01,42.83
Trout,13.47,6.9,,11.65,4.91,1.13,49.37
Salmon,11.26,7.41,9.54,11.66,23.18,2.82,30.23
Tilapia,29.64,6.67,25.64,6.56,3.26,0.47,34.1
Catfish,22.09,7.21,31.61,4.34,3.92,1.24,44.0
Trout,16.25,6.84,9.65,9.67,4.1,2.24,5.51
Salmon,8.57,7.04,,9.01,27.62,0.58,15.34
Catfish,26.95,,17.91,6.39,0.47,1.49,8.86
Clownfish,24.14,8.19,,7.24,31.98,0.67,30.04
Goldfish,23.89,8.0,12.23,7.0,0.96,0.27,45.14
Tilapia,25.75,6.73,43.58,4.08,0.01,2.84,11.02
Tilapia,24.4,7.2,23.75,,2.85,1.97,42.09
Catfish,25.84,6.48,44.01,4.09,3.04,0.76,44.07
Trout,12.3,7.04,5.53,10.75,1.61,1.59,20.84
Salmon,9.85,7.31,2.0,8.04,13.15,0.71,12.72
Clownfish,24.39,,3.54,6.15,29.91,2.52,39.9
Eel,7.02,7.02,11.59,7.06,21.78,2.29,27.21
Catfish,22.25,7.05,36.56,6.09,1.68,2.09,27.29
Eel,20.92,,20.83,5.17,7.43,0.9,18.06
Trout,10.1,6.72,5.44,8.59,3.64,1.76,30.16
Goldfish,15.24,8.28,9.92,6.62,1.09,0.87,18.27
Eel,5.63,6.54,17.53,3.92,30.0,1.66,30.29
Trout,14.7,6.53,6.21,8.63,4.23,2.1,26.61
Clownfish,25.29,8.35,3.78,7.93,28.22,1.74,5.88
Eel,14.26,7.17,23.35,3.13,7.18,2.21,10.26
Tilapia,29.98,6.97,43.27,4.25,0.23,2.56,48.05
Bass,17.49,7.2,47.09,5.65,1.67,0.36,35.13
Goldfish,19.78,7.84,13.02,7.56,0.38,0.1,16.12
,8.22,7.37,10.55,5.01,25.38,2.58,22.51
Clownfish,26.13,8.0,3.21,5.64,32.95,1.81,
Clownfish,24.85,8.33,1.07,5.05,33.95,2.64,8.1
Tilapia,26.11,6.76,18.57,6.59,0.8,2.61,44.72
Salmon,,7.13,4.24,,17.21,1.52,33.34
Tilapia,26.36,7.72,18.93,6.13,1.59,1.78,48.95
Eel,16.0,7.46,27.21,3.91,21.29,,17.9
Bass,19.02,,32.27,5.2,2.26,2.32,24.63
Trout,14.44,6.63,9.4,7.38,2.51,0.4,45.92
Tilapia,29.38,6.64,13.74,5.85,0.42,0.33,42.54
Salmon,10.12,6.58,1.77,10.68,13.87,2.98,5.6
Catfish,20.48,7.71,63.85,5.21,3.53,0.32,22.23
Eel,15.27,7.41,15.37,5.75,,1.83,23.24
Salmon,13.62,6.57,,,17.15,0.74,40.96
Catfish,20.13,7.55,24.57,3.08,1.97,1.46,5.96
Goldfish,21.69,7.04,5.2,6.43,3.32,0.02,32.84
,,7.22,64.66,5.13,1.62,0.07,31.99
,,7.18,28.38,6.58,3.55,2.55,35.87
Eel,21.84,,20.72,4.59,17.5,2.08,48.3
Eel,23.75,6.3,14.55,5.66,20.02,2.65,11.03
Goldfish,16.36,7.87,15.88,6.73,3.6,1.17,39.9
Trout,13.16,7.26,0.52,9.39,0.37,2.19,41.09
Salmon,12.7,7.06,8.15,9.42,14.1,2.84,10.02
Eel,17.4,7.55,29.81,4.44,21.12,1.44,36.81
Tilapia,27.23,6.98,13.92,4.96,4.31,1.17,45.69
Eel,21.77,7.89,28.84,6.01,10.34,2.02,15.13
Eel,21.62,7.55,26.81,4.23,9.1,0.87,47.25
Clownfish,,8.08,4.35,6.46,30.38,0.46,46.91
Clownfish,26.1,7.83,3.25,6.93,31.24,0.46,42.58
Tilapia,28.04,,42.01,7.42,,1.52,20.13
Trout,11.81,7.12,0.3,10.68,1.11,,17.27
,7.46,7.44,19.29,5.32,18.25,0.07,26.64
Goldfish,20.94,8.36,9.06,5.93,3.27,2.35,41.81
,26.97,8.31,2.76,6.67,,2.57,42.05
Eel,14.77,6.46,18.46,4.24,23.63,2.67,30.93
Clownfish,25.64,7.84,1.72,5.1,34.62,2.51,34.79
Goldfish,21.7,8.09,9.27,6.36,0.72,2.28,21.57
Bass,18.07,6.92,43.33,7.82,9.28,2.0,10.81
Eel,16.63,6.51,20.06,5.66,7.78,1.72,6.23
,10.27,6.77,9.48,8.18,30.4,1.82,5.47
Eel,6.71,7.98,28.82,6.32,12.54,0.23,24.66
Eel,14.14,6.97,27.34,6.38,19.27,2.86,28.85
Salmon,,7.05,,8.42,13.23,0.5,24.27
Eel,20.26,7.48,24.99,6.65,7.61,0.51,25.86
Catfish,26.33,7.83,68.61,5.18,0.6,2.06,1.25
Goldfish,18.22,8.28,6.14,6.37,0.08,2.16,35.69
Bass,16.11,6.15,9.29,4.73,3.24,0.4,35.13
Clownfish,24.97,7.92,2.16,6.68,33.8,2.76,25.43
Catfish,27.21,7.38,87.6,3.87,1.23,2.52,8.49
Clownfish,26.17,8.31,3.92,6.43,32.17,1.18,13.39
Catfish,,6.57,52.33,5.92,4.1,0.67,22.75
Clownfish,24.07,7.99,,,33.02,2.85,19.61
Bass,24.56,6.85,43.89,4.3,0.5,1.96,13.45
Catfish,27.23,7.23,68.72,5.89,0.61,1.75,36.3
Goldfish,16.36,7.28,13.87,5.47,1.72,2.27,
Tilapia,26.79,7.61,43.57,6.44,3.95,1.75,33.17
Trout,16.84,7.05,,11.2,0.28,0.11,0.2
Salmon,14.85,6.54,3.16,8.85,31.07,2.08,9.18
Clownfish,25.04,8.11,0.21,6.32,34.06,2.09,49.17
Clownfish,27.47,7.88,4.92,6.92,34.77,,26.06
Bass,23.26,6.77,16.51,4.94,5.27,2.47,45.0
Clownfish,24.05,8.09,0.09,5.45,30.01,2.88,20.85
Bass,24.48,6.91,43.83,7.87,7.01,0.29,47.3
Salmon,13.29,6.79,1.58,10.44,19.98,0.8,31.4
Salmon,8.43,6.55,5.22,11.37,33.97,0.48,42.25
Trout,16.64,7.08,2.36,11.27,2.81,2.9,12.52
Catfish,22.48,7.04,63.57,3.39,2.4,0.25,47.52
Goldfish,21.16,8.48,5.15,7.39,0.76,1.74,45.31
Bass,,6.02,28.17,9.27,9.88,1.6,35.85
Goldfish,16.83,7.95,11.49,6.21,2.25,2.18,
Trout,16.52,7.33,0.27,9.49,1.26,1.02,28.28
Catfish,26.29,6.59,6.39,4.01,1.78,2.48,34.49
Clownfish,24.16,,1.77,7.7,31.69,0.22,33.74
Goldfish,21.09,7.77,19.12,5.68,3.44,1.21,15.71
Catfish,20.69,6.78,49.02,3.11,2.51,0.48,16.95
Catfish,,7.08,65.26,5.9,0.14,0.92,36.83
Salmon,13.7,7.25,6.49,10.01,,0.84,35.42
Catfish,24.49,7.82,26.66,3.33,0.43,2.8,38.85
Tilapia,25.15,7.03,35.58,7.27,1.34,0.09,
Goldfish,19.93,,6.28,5.54,3.29,0.63,47.07
Tilapia,26.26,7.7,39.19,5.93,1.32,2.47,19.23
Clownfish,27.0,8.27,1.85,5.97,29.56,,46.01
Trout,10.16,2.607695457129749,4.41,10.41,3.46,1.91,5.27
Goldfish,20.85,7.34,18.6,7.87,2.52,2.75,17.22
Trout,13.61,6.55,8.2,,0.54,,32.65
Eel,12.19,6.86,10.27,3.36,25.67,2.42,20.21
Trout,11.38,6.88,6.62,7.97,0.04,2.26,6.42
,,7.09,8.35,11.55,22.4,1.63,31.54
,14.87,6.63,6.73,10.3,0.6,2.05,35.22
Clownfish,27.31,7.9,4.56,7.9,30.79,1.51,23.35
Goldfish,19.59,8.06,12.91,6.35,3.93,2.94,30.18
Tilapia,,7.29,14.31,7.27,0.26,2.28,12.64
Bass,17.36,,44.33,5.11,,0.22,19.21
Eel,13.79,7.19,25.43,5.15,13.28,0.64,8.22
Goldfish,13.99,7.37,9.31,5.79,4.92,0.21,49.44
Catfish,21.89,7.07,5.6,5.03,4.58,2.88,46.44
Salmon,13.58,6.52,3.54,7.27,21.99,,7.5
Bass,19.12,6.75,23.05,7.04,8.55,1.53,5.52
Salmon,13.79,7.11,3.32,6.01,19.11,2.64,49.73
Bass,23.45,6.06,38.01,8.03,9.17,0.02,20.51
Bass,22.49,6.72,34.16,4.4,5.25,0.31,40.49
Tilapia,29.8,6.53,49.1,6.85,0.24,,35.45
Catfish,23.73,,248.2181349638223,4.34,2.87,,7.04
Goldfish,15.34,8.06,17.74,6.81,42.00539348431099,1.75,46.01
Goldfish,16.9,7.88,19.56,,3.74,1.96,14.34
Trout,14.44,6.72,6.22,10.32,1.24,0.82,34.45
Tilapia,24.55,7.1,48.69,5.71,2.25,,23.82
Tilapia,22.04,,28.54,5.33,5.0,0.95,2.29
Trout,12.92,6.85,9.14,10.92,0.2,2.87,33.01
Tilapia,,6.86,31.77,4.04,1.73,1.88,11.2
Eel,14.7,7.6,25.66,7.76,17.18,0.76,6.96
Clownfish,26.0,8.07,1.9,6.05,28.22,2.53,16.39
Clownfish,24.66,8.02,0.42,5.03,34.24,0.35,6.85
Tilapia,24.59,7.25,44.91,5.66,40.54729373733359,1.42,12.32
Clownfish,27.52,8.21,4.52,6.11,34.1,1.9,48.42
Trout,10.4,7.16,1.34,11.19,4.37,1.93,49.96
Eel,20.88,7.84,15.1,5.03,17.9,0.67,33.28
Salmon,14.4,7.0,2.59,9.77,13.53,2.69,11.93
,27.76,6.73,38.79,6.93,4.68,0.77,
Salmon,10.58,6.65,2.25,11.55,,2.43,48.42
Tilapia,28.71,7.08,28.65,6.44,3.1,2.82,9.22
Trout,11.53,6.65,6.68,10.29,0.56,0.21,30.3
Trout,16.7,6.5,,9.05,0.67,2.55,4.71
Trout,15.51,6.53,9.41,7.28,1.2,1.87,48.44
Tilapia,27.28,7.93,44.64,7.84,3.59,0.83,17.22
Salmon,13.67,7.13,6.47,6.94,19.54,0.67,32.61
Catfish,23.87,6.86,62.74,3.21,2.54,0.97,5.36
Bass,20.36,7.43,45.31,,1.67,0.82,46.12
Eel,20.01,,15.65,3.5,9.94,0.02,13.57
Trout,10.69,,1.32,7.34,0.23,1.21,28.45
Eel,20.45,7.51,15.43,3.5,23.84,0.44,2.02
Tilapia,29.64,6.71,23.15,6.86,3.25,2.15,30.22
Catfish,25.21,6.54,34.72,,2.0,2.93,35.59
Clownfish,27.66,7.94,4.02,7.46,31.34,2.71,13.76
Catfish,26.48,7.39,28.58,6.11,2.05,,44.57
Tilapia,29.59,,22.77,4.46,1.32,0.01,43.78
Eel,20.31,6.53,23.2,4.54,25.02,2.81,48.75
Goldfish,22.73,8.33,,7.22,4.23,2.22,41.55
Trout,15.87,,1.34,8.65,3.43,0.94,19.3
Bass,19.77,6.42,17.5,7.29,1.16,0.44,2.54
Goldfish,20.58,7.5,10.73,7.97,4.8,0.9,13.24
Eel,18.56,6.93,21.12,,17.11,1.01,20.91
Clownfish,27.82,7.84,4.53,5.21,34.04,,35.64
Catfish,21.16,6.05,60.52,6.36,1.38,0.94,5.24
Catfish,20.94,6.59,60.62,6.48,1.65,0.1,6.34
Catfish,27.97,7.01,83.24,5.04,4.06,2.26,25.91
Catfish,27.86,6.87,59.44,6.38,1.02,1.42,20.29
Trout,14.49,7.37,6.82,11.87,2.4,2.54,5.93
Tilapia,25.52,,,7.2,3.38,1.45,38.81
Trout,13.79,6.75,5.96,8.54,0.24,1.05,2.38
Catfish,27.18,6.28,88.31,5.19,,0.8,19.9
Trout,,6.88,1.01,11.74,3.47,1.65,41.28
Goldfish,19.36,7.32,14.3,6.91,3.25,0.92,24.71
Tilapia,26.13,6.93,32.65,7.61,1.34,0.51,26.92
Goldfish,15.47,7.38,,6.71,1.44,1.35,0.35
Tilapia,23.24,,44.99,7.08,0.37,0.84,17.47
,,7.09,15.51,4.06,28.19,0.19,35.76
Salmon,12.46,7.16,2.08,10.76,23.6,2.86,11.96
Eel,19.71,7.44,12.27,,11.84,1.59,1.89
,26.44,8.12,4.7,7.27,31.72,0.95,43.56
Goldfish,11.37,7.02,6.48,,2.1,1.0,22.54
Bass,25.0,7.32,22.65,6.8,,0.09,34.6
,11.99,7.0,8.42,6.94,18.14,2.14,25.17
Clownfish,27.46,7.92,0.69,6.69,28.06,2.83,20.2
Eel,21.14,6.84,11.22,4.77,28.54,2.68,21.57
Catfish,24.7,7.2,62.21,,1.38,1.18,8.79
Trout,13.97,7.48,3.01,11.41,1.83,1.46,42.1
Goldfish,21.481730118550974,7.39,,,3.92,2.28,47.74
Trout,11.72,6.76,5.08,11.28,3.54,2.06,31.09
Tilapia,28.88,7.1,,4.37,3.2,,15.71
Catfish,,7.09,76.22,4.97,4.44,2.63,27.25
Eel,19.65,7.88,12.49,3.54,15.35,1.41,13.11
Salmon,12.06,6.87,4.2,10.75,24.85,1.58,18.27
Goldfish,10.18,7.76,12.49,7.84,2.82,2.08,12.33
Goldfish,12.09,7.87,7.23,5.7,1.31,1.3,6.45
Catfish,,6.96,56.28,5.08,1.35,2.25,26.03
Catfish,20.51,7.63,19.67,4.02,0.42,0.59,36.15
Trout,13.74,7.39,0.37,9.82,1.37,0.54,14.73
Trout,13.24,6.84,8.43,11.72,2.08,0.39,34.57
Salmon,14.96,7.14,5.54,10.09,16.92,0.46,27.71
Tilapia,24.12,7.14,22.02,4.63,3.09,1.88,1.43
Goldfish,,7.04,18.38,,4.3,0.53,29.31
Clownfish,25.29,7.96,3.75,7.94,31.99,1.07,24.24
,19.38,8.04,,5.48,0.03,1.25,1.19
Trout,10.11,7.39,7.26,7.4,3.54,2.67,17.91
Eel,19.71,7.08,16.02,3.47,23.19,2.82,0.35
Tilapia,25.84,7.8,,7.25,0.04,1.54,24.01
Eel,15.41,6.53,15.88,4.57,14.91,1.71,32.79
Clownfish,24.6,8.22,2.22,7.3,30.38,0.96,17.92
Trout,17.41,6.67,4.58,11.94,2.34,2.83,16.1
Salmon,13.11,7.34,0.44,10.99,20.03,0.09,30.16
Bass,21.45,6.13,37.35,9.96,9.05,0.94,7.24
Salmon,8.59,7.19,0.76,7.27,32.63,0.03,32.35
Salmon,12.77,6.97,0.52,6.31,16.83,0.2,30.46
Salmon,8.08,7.06,6.86,6.79,31.97,,6.05
Clownfish,24.24,8.24,0.03,7.68,32.07,2.98,34.51
Catfish,20.12,6.87,7.5,3.46,3.75,0.15,5.82
Salmon,14.3,7.03,1.0,9.81,24.54,2.38,13.41
Trout,11.73,7.3,2.13,7.59,2.9,0.26,45.63
Tilapia,22.04,6.83,10.27,4.99,2.26,1.58,8.28
,11.33,7.45,7.42,10.33,0.16,0.3,22.83
Goldfish,21.97,8.47,11.34,5.53,0.66,0.4,27.4
Goldfish,11.48,7.94,15.81,5.91,4.07,2.16,21.9
Eel,23.42,7.38,20.74,4.44,12.8,2.92,
,11.07,7.52,19.76,5.33,2.88,2.88,18.25
Catfish,21.96,7.9,42.34,4.55,1.66,2.42,17.77
Goldfish,10.65,7.05,17.7,5.35,0.65,1.39,42.11
Bass,15.5,6.18,44.42,7.35,3.18,0.44,30.89
Catfish,22.0,7.8,51.75,6.53,4.17,1.41,2.89
Catfish,22.54,7.98,10.33,6.47,1.16,0.42,27.63
Salmon,13.9,7.15,289.0795408585842,10.28,34.82,1.43,33.93
,9.18,6.84,9.46,,11.83,1.76,23.43
Salmon,11.58,7.26,3.14,6.76,27.12,2.57,6.67
Tilapia,27.57,6.88,38.66,4.28,,0.08,19.95
Clownfish,26.21,7.89,0.48,7.38,29.59,0.54,41.22
Catfish,22.14,7.89,76.74,6.19,0.35,1.57,
Eel,20.8,7.66,19.91,7.05,14.03,1.27,34.05
Salmon,14.58,6.86,7.58,6.83,,1.58,40.7
Eel,23.96,6.67,19.66,6.3,23.67,,4.71
Tilapia,27.81,7.19,27.73,5.3,3.51,1.95,30.19
,25.31,6.34,92.96,6.95,,1.44,42.19
,24.19,7.85,44.67,5.89,4.81,2.77,
Trout,17.69,6.76,8.12,8.45,1.51,1.2,8.74
Tilapia,25.99,7.42,24.05,6.45,3.64,0.55,31.48
