Fish Type,Temperature (°C),Turbidity (NTU),pH Level,Ammonia (mg/L),Nitrates (mg/L),Dissolved Oxygen (mg/L)
Salmon,14.74,1.19,7.59,0.191,11.13,8.69
Bass,19.55,5.46,7.07,0.19,14.99,4.73
Catfish,25.02,4.33,7.64,0.559,34.05,6.69
Catfish,26.78,7.22,7.53,0.687,36.04,5.47
Trout,11.36,1.61,7.73,0.187,16.21,7.62
Trout,15.03,2.95,7.8,0.032,3.05,7.98
Goldfish,17.97,2.63,7.57,0.158,25.24,5.86
Salmon,13.75,1.36,7.78,0.092,21.94,7.93
Bass,23.01,4.18,8.34,0.019,49.78,6.84
Bass,21.33,5.01,6.76,0.005,20.89,6.85
Catfish,27.89,9.14,7.89,0.617,15.12,4.78
Trout,4.97,1.41,6.86,0.116,10.86,10.11
Bass,16.13,1.82,,0.086,34.78,5.22
Catfish,25.6,4.52,7.42,0.414,41.58,5.48
Tilapia,25.77,2.09,7.52,0.115,10.99,4.35
Salmon,13.55,0.31,7.75,0.063,6.72,9.62
Catfish,,8.53,6.77,0.394,24.0,5.92
Goldfish,19.97,3.0,6.9,0.156,20.97,7.02
Catfish,26.98,9.03,6.87,0.235,46.32,5.93
Salmon,13.04,0.71,7.39,0.089,3.91,6.62
Salmon,5.59,1.51,7.12,0.107,18.1,11.93
Tilapia,28.8,4.84,7.17,0.215,7.51,5.37
Bass,24.58,3.79,6.6,0.261,5.29,7.3
Catfish,21.58,7.02,6.73,0.074,30.62,4.6
Salmon,14.35,0.45,6.63,0.105,25.79,6.05
Catfish,24.25,8.28,7.21,0.42,54.0,6.06
Tilapia,23.43,2.95,7.0,0.369,31.85,4.06
Tilapia,27.92,,8.21,0.14,41.37,7.88
Bass,16.52,4.38,6.89,0.077,7.69,8.93
Goldfish,23.01,2.02,7.28,0.292,4.24,8.3
Bass,21.14,1.2,7.36,0.257,29.96,4.01
Catfish,24.44,2.57,6.84,0.674,21.85,3.24
Catfish,23.56,3.27,6.62,0.676,40.26,6.35
Bass,19.63,3.9,6.08,0.024,38.45,6.37
Goldfish,23.86,3.92,7.16,0.446,10.35,7.03
Trout,7.61,2.56,7.1,0.093,9.1,11.26
Salmon,14.53,1.78,6.52,0.028,15.06,9.78
Bass,25.66,4.66,6.09,0.13,,7.87
Trout,15.01,1.45,,0.125,1.15,8.21
Catfish,26.25,9.04,6.97,0.735,29.71,4.81
Goldfish,18.04,2.04,7.69,0.228,24.47,5.17
Goldfish,21.4,1.21,6.79,0.181,11.57,5.25
Salmon,10.39,1.35,6.58,0.197,2.22,8.82
Catfish,23.17,6.98,6.09,0.711,42.05,3.27
Bass,24.89,4.58,8.18,0.019,39.38,4.11
Tilapia,24.12,4.5,8.24,0.135,16.68,7.07
Trout,14.19,2.77,7.62,0.055,13.4,8.36
Catfish,24.41,7.49,7.44,0.32,19.16,3.57
Catfish,25.48,8.99,6.58,0.325,46.08,3.01
Trout,16.91,1.94,7.73,0.17,2.89,7.25
Goldfish,24.0,2.15,7.65,0.357,0.6,8.41
Goldfish,23.02,3.25,7.79,0.498,11.97,7.61
Catfish,24.29,6.13,6.05,0.753,43.59,5.07
Goldfish,17.97,1.02,7.2,0.446,6.8,8.05
Bass,17.1,,6.87,0.293,40.17,5.86
Tilapia,24.11,1.21,7.15,0.42,46.23,5.13
Goldfish,13.91,1.33,7.46,0.011,7.78,7.69
Catfish,20.19,4.45,6.05,0.071,36.61,5.14
Goldfish,18.53,3.41,7.8,0.217,7.09,7.56
Bass,20.15,3.68,7.8,0.195,29.11,7.58
Salmon,8.01,0.66,7.43,0.131,15.79,10.92
Salmon,14.57,1.1,,0.129,5.94,9.07
Bass,24.32,2.29,7.76,0.214,44.8,6.43
Catfish,20.49,7.09,6.7,0.02,53.39,6.71
Trout,5.71,1.69,7.78,0.01,18.51,9.98
Bass,16.72,3.26,7.02,0.115,42.93,5.76
Salmon,8.73,0.1,6.55,0.17,6.56,9.55
Trout,5.89,0.17,7.41,0.033,9.62,9.69
Catfish,20.26,9.0,7.66,0.597,44.78,3.25
Bass,22.45,5.28,7.41,0.041,21.17,8.41
Bass,18.34,1.37,6.94,0.182,,7.0
Trout,4.52,2.97,7.04,0.198,18.96,9.87
Goldfish,15.17,1.76,6.66,0.213,25.25,5.52
Catfish,20.02,2.38,7.02,0.818,52.82,4.6
Bass,22.92,4.93,6.7,0.038,8.93,8.27
Catfish,20.23,7.18,7.07,0.317,20.45,4.41
Salmon,7.25,0.28,6.88,0.159,13.48,10.61
Trout,9.89,0.01,7.42,0.146,18.62,7.16
Salmon,7.69,,6.62,0.147,9.12,6.27
Tilapia,29.19,4.33,8.04,0.427,42.29,5.83
Bass,15.44,2.59,7.73,0.295,30.79,5.6
Catfish,27.75,5.18,6.43,0.628,49.07,4.73
Bass,21.11,4.85,6.63,0.025,46.58,7.87
Salmon,11.46,0.77,6.96,0.174,7.68,
Tilapia,29.54,3.65,7.01,0.04,40.24,5.57
Salmon,11.16,1.01,7.14,0.084,8.14,11.52
Goldfish,19.62,3.5,6.56,0.22,9.88,7.29
Trout,16.52,0.96,6.9,0.143,19.51,10.59
Trout,8.54,0.09,6.68,0.061,19.1,11.05
Salmon,14.61,0.13,7.7,0.043,16.96,9.8
Tilapia,24.91,2.01,6.89,0.341,32.95,7.08
Goldfish,10.33,3.63,,0.081,24.36,6.53
Trout,16.22,0.29,7.26,0.143,1.23,10.17
Goldfish,12.26,1.82,7.65,0.15,1.67,5.24
Catfish,23.27,9.32,6.58,0.392,30.68,3.83
Bass,19.39,4.37,6.92,0.056,42.9,5.77
Goldfish,11.19,1.76,7.13,0.274,30.69,6.58
Catfish,25.83,2.53,6.43,0.861,36.19,5.51
Trout,16.11,1.51,6.91,0.041,4.94,8.83
Bass,26.32,1.88,8.21,0.233,46.36,8.93
Bass,23.94,5.42,7.61,0.259,40.45,6.56
Salmon,4.01,0.67,7.13,0.053,27.56,9.24
Catfish,20.4,6.77,7.02,0.063,13.26,5.98
Tilapia,24.78,1.78,7.67,0.388,30.96,5.33
Salmon,9.31,0.0,7.71,0.085,6.63,9.54
Salmon,14.43,1.42,6.85,0.165,1.27,7.97
Catfish,22.3,5.52,6.21,0.784,10.97,3.48
Trout,8.4,1.55,7.24,0.1,19.8,11.74
Catfish,,3.3,6.42,0.236,44.16,6.71
Tilapia,22.73,2.98,6.97,0.105,19.7,7.34
Salmon,12.44,0.38,8.0,0.159,14.29,11.55
Salmon,7.49,0.93,7.85,0.128,29.55,7.98
Tilapia,28.81,4.98,6.84,0.444,36.89,6.86
Goldfish,11.7,2.05,7.41,0.062,39.65,6.15
Bass,26.18,1.37,7.3,0.004,40.49,8.09
Tilapia,22.6,2.94,7.71,0.307,8.18,5.93
Bass,26.08,1.74,8.25,,29.45,7.05
Salmon,5.86,0.71,7.01,0.004,13.56,11.65
Bass,17.32,4.2,7.37,0.275,5.84,6.15
Catfish,21.3,3.77,6.55,0.135,33.91,4.82
Trout,8.52,1.26,7.07,0.073,14.12,8.9
Bass,26.49,1.04,6.89,0.0,29.22,5.11
Trout,12.37,0.97,7.37,0.094,8.72,9.98
Tilapia,28.92,1.26,8.22,0.298,8.18,5.0
Salmon,10.3,0.95,7.06,0.093,3.84,6.1
Tilapia,27.86,1.59,7.5,0.413,15.36,5.49
Catfish,24.57,6.5,7.44,0.706,14.23,4.97
Catfish,21.99,2.3,7.89,0.573,50.34,3.73
Catfish,26.93,8.3,7.51,0.269,,4.84
Goldfish,17.35,2.88,6.9,0.223,30.27,6.78
Bass,26.15,5.37,7.82,0.156,9.15,5.08
Catfish,23.23,3.05,6.19,0.965,13.73,3.93
Catfish,20.44,6.94,7.6,0.409,48.66,6.33
Catfish,20.74,9.38,7.13,0.623,56.39,5.03
Goldfish,22.93,3.05,7.61,0.222,13.19,5.98
Tilapia,28.55,2.9,7.31,0.293,29.06,5.61
Bass,19.09,3.91,7.47,0.212,43.3,7.73
Tilapia,24.18,4.42,8.14,0.29,1.75,6.94
Salmon,12.14,0.88,6.83,0.05,1.44,10.75
Trout,7.1,0.37,,0.167,8.74,10.42
Catfish,25.77,9.43,7.17,0.055,58.58,4.51
Goldfish,10.55,3.92,6.97,0.464,10.39,6.85
Goldfish,13.92,3.66,7.88,0.191,17.56,7.49
Trout,6.13,0.08,7.63,0.01,12.15,8.44
Tilapia,29.96,3.03,8.34,0.321,29.79,4.2
Goldfish,15.32,2.24,6.61,0.195,27.15,8.57
Bass,22.91,1.38,7.11,0.281,11.65,8.21
Trout,6.0,0.23,7.27,0.047,13.14,9.77
Catfish,23.07,5.13,6.82,0.134,57.13,3.9
Trout,14.07,2.1,7.43,0.029,7.7,9.11
Bass,24.9,2.69,7.16,0.201,36.65,4.24
Salmon,13.71,1.26,6.83,0.103,18.72,10.81
Catfish,21.48,2.39,6.97,0.932,,5.63
Tilapia,27.73,3.74,7.66,0.297,17.74,5.27
Goldfish,20.28,1.23,7.39,0.46,19.62,5.99
Bass,26.79,4.18,6.64,0.214,21.62,5.6
Catfish,20.39,7.6,6.26,0.668,49.14,5.28
Catfish,22.01,9.12,7.45,0.94,11.1,6.91
Tilapia,23.25,4.53,6.97,0.08,5.19,5.01
Bass,20.18,2.56,6.68,0.003,41.56,6.69
Catfish,22.01,2.02,6.31,0.996,32.62,3.46
Catfish,24.78,2.82,7.41,0.923,31.47,5.6
Salmon,10.19,0.86,7.86,0.151,14.81,6.1
Goldfish,16.39,3.92,6.99,0.189,27.13,7.68
Trout,12.51,2.59,6.54,0.001,15.8,10.93
Bass,20.34,1.3,7.93,0.064,45.51,7.31
Goldfish,15.58,2.82,7.77,0.37,28.85,6.48
Bass,26.01,5.1,6.19,0.099,5.24,5.65
Goldfish,21.14,3.88,7.91,0.11,30.35,8.59
Tilapia,22.07,1.04,7.98,0.457,44.92,5.06
Trout,15.41,1.51,6.75,0.141,10.62,8.87
Catfish,25.97,7.51,6.62,0.246,30.43,5.03
Trout,8.0,0.53,6.59,0.038,19.44,11.91
Trout,11.77,2.96,6.66,0.104,17.04,11.95
Bass,15.64,2.19,6.74,0.049,19.04,8.93
Trout,10.28,1.45,7.18,0.051,10.12,10.77
Salmon,9.3,1.49,6.56,0.14,28.78,8.87
Trout,16.73,1.55,6.54,0.068,16.11,10.46
Bass,22.33,1.79,6.56,0.128,49.9,5.07
Tilapia,26.51,4.86,8.3,0.028,44.79,5.9
Salmon,12.66,1.07,7.23,0.148,,6.58
Salmon,9.63,0.28,7.8,0.088,25.21,6.18
Bass,21.32,5.66,6.82,0.211,43.74,7.62
Goldfish,21.27,1.62,6.94,0.372,30.25,6.6
Goldfish,11.16,1.93,7.43,0.387,15.29,5.2
Bass,18.95,2.59,8.12,0.124,33.27,7.97
Goldfish,12.19,1.82,7.24,0.422,9.06,8.94
Goldfish,16.88,1.77,6.8,0.321,36.21,6.43
Salmon,5.71,0.65,7.44,0.164,19.1,11.87
Salmon,7.7,1.78,7.82,0.017,4.32,6.48
Trout,9.92,2.48,6.83,0.104,6.4,8.63
Tilapia,25.08,3.94,6.65,0.237,23.76,4.88
Bass,20.87,1.27,6.81,0.069,5.95,8.62
Tilapia,27.45,4.15,7.71,0.119,41.33,6.22
Tilapia,22.39,2.28,8.3,0.121,16.24,4.77
Trout,13.83,1.53,6.84,0.096,6.27,7.5
Tilapia,22.59,1.94,6.64,0.452,27.67,6.19
Trout,7.78,2.09,6.99,0.185,8.3,11.92
Catfish,22.69,2.69,6.06,0.738,16.29,6.64
Tilapia,28.9,1.59,6.77,0.306,12.93,6.12
Trout,14.0,,6.95,0.195,6.78,11.95
Salmon,13.53,0.74,7.13,0.003,18.23,6.52
Salmon,13.32,0.58,6.65,0.2,1.14,11.36
Goldfish,14.18,3.7,7.93,0.426,39.43,5.2
Salmon,7.21,0.41,6.83,0.193,16.72,
Goldfish,19.33,3.61,7.89,0.061,27.92,
Tilapia,22.51,1.31,7.96,0.219,12.1,5.69
Goldfish,14.46,2.96,7.47,0.264,,5.19
Catfish,23.89,3.57,7.23,0.886,36.77,6.19
Tilapia,27.33,3.41,8.26,0.479,4.03,6.42
Catfish,27.63,7.27,7.69,0.485,34.6,6.0
Bass,22.77,1.86,7.94,0.126,16.36,7.32
Salmon,13.53,0.22,7.31,0.097,11.27,8.08
Tilapia,27.4,1.37,6.76,0.168,25.76,5.83
Goldfish,16.66,2.9,7.27,0.251,23.73,7.67
Catfish,21.82,7.24,,0.596,56.61,6.85
Tilapia,27.84,1.02,7.47,0.39,13.81,5.78
Tilapia,22.77,1.2,7.51,0.18,25.85,7.63
Trout,14.42,2.93,7.89,0.057,18.35,11.92
Trout,7.68,2.2,7.09,0.13,15.76,10.28
Tilapia,25.19,3.14,7.9,0.177,2.66,5.76
Catfish,20.83,6.89,7.41,0.25,56.28,3.09
Goldfish,21.55,2.19,7.54,0.432,0.31,7.67
Bass,18.11,,6.02,0.184,24.21,7.24
Trout,16.58,1.16,7.73,0.119,2.25,10.89
Tilapia,26.82,2.04,8.17,0.178,3.12,5.73
Salmon,14.76,0.72,6.95,0.106,21.74,11.97
Tilapia,25.45,4.68,7.8,0.189,14.12,5.38
Goldfish,23.45,1.65,7.15,0.308,36.39,5.72
Bass,18.0,5.94,6.55,0.105,40.02,5.64
Bass,18.31,2.72,6.34,0.05,,4.87
Goldfish,18.31,2.36,,0.134,15.45,5.78
Salmon,8.87,0.97,6.87,0.047,20.22,9.53
Tilapia,23.27,4.18,7.75,0.499,9.2,5.15
Catfish,21.68,4.85,7.26,0.409,59.86,5.15
Trout,16.07,1.35,7.44,0.08,16.86,11.43
Trout,5.85,2.63,7.65,0.136,12.28,11.62
Catfish,25.02,7.44,6.24,0.163,44.53,3.3
Trout,8.08,0.21,7.79,0.124,7.9,8.91
Tilapia,26.11,3.51,7.49,0.05,30.85,7.85
Catfish,25.13,9.83,7.03,0.566,21.19,3.85
Trout,9.26,2.56,7.03,0.067,15.81,10.35
Bass,15.94,,6.47,0.191,38.89,5.86
Goldfish,19.65,3.96,7.9,0.108,8.87,5.57
Goldfish,16.1,2.96,6.95,0.313,38.34,6.67
Salmon,13.98,1.36,7.38,0.04,24.01,11.82
Bass,22.0,4.67,8.41,,6.57,5.28
Catfish,21.05,7.49,6.01,0.93,28.27,5.57
Bass,18.38,4.52,7.01,0.234,41.62,7.56
Salmon,14.77,1.43,7.56,0.029,25.87,8.97
Trout,,0.77,6.86,0.029,18.09,8.26
Catfish,26.56,7.49,7.29,0.879,41.65,4.23
Trout,5.07,1.44,7.68,0.109,0.82,10.81
Goldfish,16.0,1.6,7.16,0.033,7.66,8.52
Goldfish,18.31,1.47,7.71,0.061,21.22,6.73
Trout,6.58,1.1,7.83,0.056,1.62,11.12
Bass,18.32,3.14,6.93,0.295,45.63,6.25
Catfish,20.51,2.28,6.57,0.415,20.02,4.76
Goldfish,20.12,1.01,7.79,0.426,31.18,5.34
Tilapia,24.99,1.93,7.7,0.177,31.21,6.53
Tilapia,23.36,3.53,6.87,0.134,9.3,6.62
Bass,26.14,3.01,7.63,0.208,24.64,4.16
Trout,10.01,1.5,6.57,0.007,19.11,7.35
Tilapia,29.89,2.4,6.75,0.2,19.29,4.88
Tilapia,28.83,4.56,8.04,0.156,23.65,4.66
Salmon,4.29,1.33,7.87,0.167,4.23,8.15
Catfish,26.92,8.8,7.5,0.498,17.87,4.77
Bass,15.53,4.08,7.63,0.016,44.99,4.04
Goldfish,15.02,2.41,6.76,0.238,7.47,7.52
Goldfish,15.92,3.69,6.61,0.356,4.69,8.85
Bass,24.63,3.55,7.25,0.072,40.71,4.53
Goldfish,21.33,2.19,6.62,0.104,15.5,6.96
Goldfish,12.35,2.92,7.4,0.299,20.18,8.79
Bass,22.87,5.36,6.36,0.185,16.95,8.59
Catfish,23.14,2.24,7.06,0.027,55.54,5.99
Salmon,7.17,0.89,7.19,0.155,10.35,11.46
Trout,4.01,1.98,7.38,0.034,16.65,10.23
Catfish,23.8,3.22,6.99,0.471,48.98,5.79
Bass,20.17,2.23,7.8,0.024,30.04,7.26
Bass,21.02,2.84,7.92,0.047,30.39,4.95
Trout,4.5,2.08,7.75,0.006,11.93,8.47
Goldfish,21.62,2.77,7.04,0.303,38.61,7.79
Bass,19.6,2.49,6.06,0.118,33.25,7.44
Catfish,22.93,3.35,6.4,0.472,36.27,6.9
Catfish,25.46,9.49,7.61,0.715,42.76,4.28
Goldfish,10.1,1.1,7.47,0.45,14.24,7.58
Tilapia,23.75,,6.65,0.223,44.58,5.69
Tilapia,26.53,2.93,8.12,0.442,41.68,4.76
Salmon,15.56,1.31,7.26,0.02,20.25,7.49
Tilapia,24.68,1.43,8.17,0.344,43.34,5.4
Catfish,27.63,8.38,7.74,0.06,25.69,3.52
Goldfish,17.09,3.97,6.53,0.392,,8.63
Catfish,22.85,8.66,7.23,0.939,26.29,5.19
Catfish,26.53,5.06,6.38,,59.95,4.97
Tilapia,22.65,4.74,6.95,0.034,38.14,
Bass,25.1,3.41,7.06,0.121,37.7,5.05
Bass,24.48,1.65,6.46,0.166,31.9,4.24
Catfish,21.38,2.52,7.11,0.68,29.35,6.14
Tilapia,29.89,3.81,7.65,0.15,42.71,5.41
Tilapia,24.31,3.67,6.85,0.192,28.33,7.73
Catfish,20.7,3.37,7.15,0.569,34.13,5.45
Bass,18.45,1.39,7.61,0.24,33.82,7.65
Trout,,1.73,6.95,0.029,16.56,7.01
Tilapia,22.82,2.76,6.94,0.386,8.32,7.93
Trout,14.61,2.24,6.84,0.121,2.2,11.62
Trout,5.55,1.68,6.82,0.079,9.36,9.38
Tilapia,22.99,3.86,7.16,0.313,20.24,5.11
Goldfish,11.02,1.79,7.92,0.247,0.46,6.63
Bass,21.15,2.34,8.27,0.076,9.83,4.29
Salmon,14.32,0.1,6.95,0.102,18.04,11.15
Trout,8.59,2.91,7.87,0.187,12.27,9.54
Bass,17.69,1.35,7.78,0.086,22.77,4.38
Goldfish,21.55,1.32,6.9,0.233,26.47,7.29
Trout,7.79,2.0,7.18,0.033,0.83,7.74
Goldfish,22.15,3.88,7.87,,29.9,6.15
Goldfish,22.53,1.9,7.49,0.479,0.62,8.7
Salmon,5.4,0.1,7.04,0.067,14.87,9.34
Catfish,23.23,9.95,6.57,0.495,34.54,3.55
Tilapia,25.34,4.85,8.17,0.28,16.03,5.39
Salmon,13.16,1.49,7.18,0.104,13.81,8.59
Catfish,20.11,9.82,6.33,0.95,46.68,4.95
Goldfish,23.23,1.9,6.99,0.28,15.89,7.46
Goldfish,21.3,3.94,6.61,0.184,5.21,8.64
Catfish,27.97,3.6,6.19,0.198,38.63,4.37
Tilapia,26.14,1.39,8.07,0.021,11.26,4.53
Bass,22.69,2.96,6.92,0.098,23.61,6.77
Salmon,4.3,1.55,7.24,0.028,7.79,
Goldfish,23.01,2.47,7.17,0.374,34.32,7.17
Bass,16.33,4.73,7.48,0.202,16.89,7.25
Catfish,21.98,2.31,7.08,0.852,11.58,6.98
Tilapia,24.4,2.66,7.49,0.025,13.6,4.6
Catfish,21.74,3.04,7.86,0.2,14.79,6.17
Salmon,8.93,1.23,7.48,0.155,4.13,8.37
Bass,19.6,4.43,7.16,0.098,39.18,6.59
Goldfish,23.19,2.63,6.85,0.125,16.65,8.26
Goldfish,16.4,3.59,6.59,0.347,26.58,7.58
Catfish,20.03,2.47,7.88,0.062,52.56,4.35
Trout,13.61,1.79,6.7,0.188,0.99,
Tilapia,24.25,4.12,7.09,0.257,13.24,7.97
Salmon,6.2,1.35,6.93,0.05,23.9,6.05
Catfish,22.24,5.17,6.0,0.76,35.84,5.97
Salmon,4.44,0.56,6.95,0.08,8.1,9.62
Salmon,13.8,0.7,7.15,0.197,25.71,10.22
Goldfish,20.13,3.65,7.21,0.159,2.47,5.15
Catfish,22.0,8.27,6.2,0.802,50.17,6.48
Trout,16.9,2.63,6.74,0.151,17.91,7.18
Tilapia,28.17,2.0,,0.492,35.54,5.2
Catfish,22.45,5.29,6.74,0.847,30.32,6.53
Trout,7.05,1.39,6.81,0.053,10.7,9.23
Trout,,2.26,7.93,0.05,16.15,9.79
Tilapia,27.04,3.87,8.47,0.186,16.22,6.74
Trout,7.98,0.27,7.93,0.023,19.01,9.57
Goldfish,16.38,1.99,6.66,0.075,36.42,5.02
Catfish,25.94,2.24,7.27,0.823,21.94,4.08
Salmon,7.44,0.05,6.63,0.135,19.13,8.28
Catfish,22.46,5.17,7.3,0.339,49.28,6.27
Bass,15.09,5.59,7.31,0.266,42.28,7.65
Catfish,23.62,2.71,6.94,0.55,47.15,4.43
Catfish,26.03,4.85,6.37,0.126,55.91,6.39
Bass,17.29,3.73,7.15,0.104,49.6,8.41
Catfish,27.79,3.11,6.52,0.341,17.28,
Salmon,4.7,0.36,6.52,0.063,14.08,8.91
Goldfish,19.13,3.94,7.69,0.153,20.55,5.53
Tilapia,23.99,1.3,,0.342,4.35,4.48
Trout,16.33,1.05,7.69,0.123,11.43,10.87
Salmon,7.33,1.99,7.64,0.048,24.64,8.29
Bass,25.86,5.79,7.16,0.176,6.82,6.71
Trout,13.6,1.45,7.71,0.092,11.73,7.18
Catfish,26.56,9.14,6.08,0.161,53.41,3.03
Catfish,21.49,4.99,7.72,0.594,15.42,3.7
Goldfish,18.73,3.68,7.88,0.107,36.17,7.96
Salmon,11.94,1.82,6.83,0.123,10.65,7.16
Goldfish,14.81,1.22,7.04,0.328,17.14,8.7
Tilapia,23.62,1.04,6.7,0.268,3.08,7.97
Catfish,22.47,8.6,7.93,0.216,19.87,5.86
Trout,7.54,0.02,7.39,0.101,2.93,11.19
