Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L)
Bass,22.32,6.62,34.43,7.25
Clownfish,25.44,8.32,3.32,
Trout,,7.01,7.14,11.84
Bass,24.37,6.95,28.7,6.7
Catfish,25.96,7.35,87.62,5.78
Eel,17.99,6.13,12.84,4.86
Trout,11.42,7.31,9.65,9.43
Tilapia,23.6,6.84,30.51,7.47
Salmon,12.23,7.33,8.67,9.26
Goldfish,14.42,8.25,15.64,7.01
Trout,17.8,,,11.09
Eel,,6.7,22.9,4.18
Salmon,8.05,6.7,2.08,8.27
Trout,15.23,,9.11,9.85
Salmon,10.61,7.06,7.01,9.88
Tilapia,25.39,,12.99,6.11
Bass,16.18,6.04,11.78,9.98
,16.97,6.85,14.83,3.63
Salmon,10.51,7.45,5.65,7.83
Catfish,24.94,7.36,43.31,3.97
Tilapia,26.6,6.98,35.29,7.78
Tilapia,29.73,,33.66,6.57
Tilapia,27.66,6.56,13.4,6.31
Catfish,,6.43,46.81,
Clownfish,24.58,7.8,0.58,5.98
Eel,23.37,6.33,14.22,5.04
Goldfish,22.61,8.49,18.21,5.89
Trout,14.44,7.29,,9.91
Bass,23.61,6.8,16.96,4.96
Clownfish,25.19,7.97,,5.92
Goldfish,18.88,8.09,7.89,6.58
,25.9,7.46,39.99,4.17
Catfish,,7.3,66.84,5.35
Catfish,26.05,6.21,97.03,6.86
Tilapia,22.76,6.76,37.1,6.52
Goldfish,19.16,8.15,19.05,7.32
Salmon,10.25,7.47,8.26,6.29
Tilapia,28.85,7.59,40.86,5.62
Salmon,11.3,6.77,3.42,6.96
Trout,15.37,7.35,1.7,9.24
Bass,15.63,,19.59,8.92
Clownfish,27.39,8.29,0.79,7.6
Trout,10.47,7.44,4.47,8.4
Catfish,,,41.72,3.39
Trout,16.37,,0.31,7.57
Goldfish,10.95,7.29,18.63,6.43
Bass,22.57,6.34,15.6,8.29
Tilapia,28.68,7.09,26.59,6.41
Catfish,23.59,6.7,69.3,5.51
Salmon,9.99,7.03,2.28,
Trout,12.35,7.28,7.89,11.39
Bass,16.92,6.89,31.81,4.76
Goldfish,22.42,,19.41,7.77
Bass,24.14,6.11,32.49,6.24
Trout,16.32,7.5,2.96,10.06
Clownfish,27.23,8.39,0.09,6.7
Eel,20.76,7.05,24.62,3.09
Goldfish,21.88,8.4,5.29,7.06
Tilapia,22.56,7.77,15.65,4.35
Eel,9.78,6.96,12.76,7.7
Eel,18.69,6.9,17.16,6.28
Salmon,12.23,6.58,9.35,7.86
Catfish,25.73,6.37,53.82,3.27
Trout,11.73,6.57,6.27,9.57
Trout,11.35,6.9,7.46,8.48
Bass,19.6,6.16,21.45,8.19
Eel,19.56,7.44,12.11,5.93
Salmon,12.02,7.01,7.96,6.56
Goldfish,13.83,8.17,17.05,7.96
Bass,23.86,6.59,12.43,8.93
Clownfish,24.46,8.2,4.61,7.23
Clownfish,24.95,8.03,2.2,6.01
Trout,10.71,7.14,1.09,7.49
Goldfish,21.89,8.28,10.39,5.36
,8.78,6.83,1.05,10.94
Goldfish,14.62,,18.91,5.99
Trout,13.43,6.66,5.46,11.31
Clownfish,25.68,,2.09,7.63
Salmon,12.13,7.36,7.51,8.83
Catfish,22.64,7.66,75.02,4.23
Goldfish,21.19,7.1,7.11,5.68
Clownfish,25.8,8.38,1.04,6.07
Clownfish,25.54,7.84,0.78,5.15
Clownfish,,8.12,3.41,7.7
Goldfish,23.07,7.1,16.84,5.89
Clownfish,26.3,,,5.85
Tilapia,26.73,7.22,29.03,4.42
Trout,15.65,7.46,0.45,10.42
Eel,24.17,6.66,15.15,4.66
Catfish,24.61,7.38,68.53,6.04
Salmon,13.55,6.69,3.38,8.29
Salmon,8.01,7.34,4.84,10.87
Eel,11.39,7.21,12.18,6.98
Goldfish,15.53,8.01,14.23,7.28
Bass,16.23,7.22,9.71,
Tilapia,27.9,,40.35,4.44
Trout,10.07,7.02,,8.35
Eel,,7.81,18.69,5.71
Bass,18.4,6.78,13.21,4.2
Salmon,10.42,6.86,9.62,11.76
Catfish,24.65,7.82,73.75,4.96
Catfish,21.83,7.84,14.61,5.1
,13.15,7.14,4.08,
Eel,11.6,,21.35,
Clownfish,24.05,8.11,4.9,5.15
Tilapia,29.11,6.65,39.03,5.35
Goldfish,20.17,8.06,16.08,7.15
Catfish,26.13,6.02,66.38,5.13
Tilapia,25.67,6.63,27.49,4.82
Clownfish,25.72,7.93,4.94,5.04
Catfish,23.58,7.17,36.65,3.03
Tilapia,24.41,6.5,31.07,6.54
,21.33,6.48,77.08,3.52
Trout,11.4,7.07,7.55,7.6
Trout,13.33,7.4,9.65,8.26
Trout,11.63,6.67,5.11,10.09
Goldfish,21.42,,9.9,7.31
Bass,24.5,,10.27,4.26
Salmon,10.91,7.09,2.98,6.66
Bass,23.94,7.01,44.71,5.82
,17.46,7.26,12.12,5.9
Bass,19.69,6.4,28.4,6.72
Trout,15.46,7.15,2.75,9.38
Trout,13.89,6.78,2.38,7.56
Trout,16.92,7.17,1.64,8.06
Eel,8.3,,24.34,4.29
,25.94,6.79,36.88,6.81
Bass,20.1,6.75,34.65,8.53
,24.44,7.85,3.35,6.02
Tilapia,22.64,6.63,13.18,4.08
Salmon,8.42,7.28,0.46,9.04
Trout,14.83,6.87,2.19,8.25
,19.07,7.47,32.64,9.23
,27.72,7.3,45.87,6.2
Tilapia,24.25,7.68,38.13,4.08
Salmon,10.82,6.82,3.76,8.11
Goldfish,16.75,7.53,11.44,5.98
Clownfish,24.53,7.99,,5.16
Catfish,25.1,7.89,51.28,4.98
Salmon,13.27,7.07,1.61,9.31
Eel,13.97,7.04,16.11,4.39
Eel,12.64,7.48,21.26,7.52
Catfish,26.35,7.52,90.41,4.84
,27.01,8.31,4.88,5.46
Bass,21.19,,17.86,7.6
Bass,23.01,6.18,,9.49
Bass,23.0,6.56,47.3,7.55
Goldfish,13.36,7.32,10.05,5.74
Eel,7.96,7.88,23.97,6.62
Goldfish,24.04,7.79,,5.79
Eel,12.54,6.22,28.3,6.95
Bass,24.85,6.19,45.05,
Clownfish,27.3,8.33,,7.68
Bass,20.56,7.26,5.28,5.75
Clownfish,24.01,8.2,1.21,6.95
,16.21,,9.21,11.59
Eel,,7.86,13.21,4.81
Eel,11.29,6.79,14.18,3.85
Eel,7.16,6.65,11.73,5.22
Tilapia,23.45,7.56,49.4,6.14
Catfish,21.2,7.46,47.93,4.93
Trout,12.4,6.91,2.4,9.41
Salmon,8.03,7.23,3.05,
Catfish,25.73,7.35,96.34,6.42
Salmon,9.96,6.51,1.75,6.78
Clownfish,25.7,8.36,1.26,7.22
Tilapia,22.09,7.25,28.16,4.11
Tilapia,23.22,6.99,32.34,5.21
Salmon,10.66,6.96,7.04,7.85
Goldfish,16.94,8.15,11.04,6.95
Catfish,25.13,6.31,96.2,4.44
Trout,14.91,7.48,0.41,11.41
Salmon,14.01,7.48,9.66,8.94
Goldfish,11.56,8.47,9.29,6.11
Salmon,13.28,6.85,0.38,11.01
Trout,12.5,7.08,9.93,9.29
Trout,12.0,7.04,2.78,10.08
Clownfish,27.03,,2.35,7.18
Catfish,23.34,7.0,63.48,5.54
Clownfish,24.75,8.32,4.77,
Eel,20.13,7.97,18.29,6.71
Tilapia,24.66,7.24,,5.87
Catfish,25.91,6.11,80.85,6.25
Catfish,27.32,6.65,,5.1
Eel,7.49,7.56,15.39,6.08
Trout,15.52,6.67,8.44,9.14
Goldfish,17.16,7.22,13.25,7.19
Eel,6.09,7.66,28.34,3.23
Tilapia,26.09,6.88,10.38,7.74
Salmon,9.86,7.32,1.99,10.15
,8.97,6.91,4.46,9.2
Catfish,22.78,7.85,87.35,4.03
Tilapia,28.1,7.83,41.36,7.08
Bass,24.34,7.13,28.81,7.86
Trout,11.2,7.21,6.15,10.21
Eel,11.84,7.81,11.82,3.78
Catfish,20.48,6.98,28.33,
Clownfish,27.65,7.95,,6.03
Eel,23.84,6.52,10.61,7.72
Goldfish,22.73,8.31,14.2,7.71
Salmon,8.69,7.48,1.76,10.9
Salmon,14.68,7.39,6.4,
Goldfish,14.31,7.89,,5.63
Goldfish,21.56,7.63,8.93,6.91
Salmon,,7.29,5.35,10.48
Trout,13.13,7.5,6.94,10.42
Eel,19.84,7.64,10.76,3.72
Goldfish,20.73,7.4,18.91,5.76
Bass,22.25,6.79,8.64,8.21
Clownfish,27.33,8.25,1.75,7.58
Goldfish,22.12,7.99,11.14,7.46
Eel,23.03,7.06,29.73,3.38
Goldfish,20.9,8.35,7.19,5.99
Salmon,10.78,,2.37,6.18
Goldfish,22.89,7.19,,6.87
Goldfish,13.84,7.04,6.45,5.43
Goldfish,23.24,7.95,8.37,6.06
Bass,22.02,6.4,31.32,6.81
Clownfish,26.31,8.28,1.81,7.55
Eel,13.45,7.91,18.99,6.04
Bass,21.39,6.67,12.48,5.56
Tilapia,25.74,7.57,41.58,7.46
Trout,11.47,6.69,9.59,9.6
Bass,19.87,6.05,49.61,9.99
Trout,14.47,7.25,2.88,7.95
Trout,15.82,7.39,5.49,
Salmon,10.83,7.49,2.66,6.42
,18.6,6.16,13.21,7.32
Salmon,14.16,7.2,7.47,6.9
Eel,,7.39,21.0,3.28
Salmon,10.91,7.15,,
Salmon,9.36,7.42,0.77,11.01
Tilapia,27.05,7.0,19.49,6.22
Tilapia,26.81,7.92,47.42,7.09
Goldfish,17.29,7.51,14.31,6.41
Salmon,9.78,6.89,5.71,10.83
Catfish,22.5,6.81,29.65,5.21
Clownfish,27.95,7.95,4.49,
Tilapia,23.85,,10.92,7.29
Tilapia,25.41,7.65,25.81,5.27
Salmon,14.64,7.07,,
Tilapia,22.73,7.29,38.07,7.16
Trout,16.29,6.53,2.12,11.07
Catfish,27.08,6.58,47.64,4.71
Goldfish,19.07,8.03,19.63,7.67
Bass,24.19,6.46,7.31,8.36
Catfish,22.49,6.9,29.68,5.42
Salmon,11.42,7.16,6.78,8.09
Catfish,22.65,7.96,71.97,5.41
Bass,20.08,6.26,38.4,9.33
,28.4,7.7,49.1,7.13
Eel,20.57,7.91,28.86,5.84
Bass,18.67,7.01,20.95,5.07
Catfish,21.41,7.17,55.6,6.65
Catfish,24.97,7.76,16.85,6.69
Trout,16.84,6.69,7.7,11.87
Tilapia,,6.94,25.22,5.6
Trout,16.2,6.64,4.94,10.71
Clownfish,24.49,8.39,0.77,7.28
Catfish,24.71,6.14,33.78,3.52
Trout,13.45,6.79,,7.94
Catfish,25.47,7.15,19.67,5.0
Eel,8.58,7.59,13.06,4.03
Tilapia,25.3,6.51,30.63,5.95
Clownfish,27.34,8.1,2.52,7.96
Bass,16.38,6.29,8.68,4.25
Salmon,10.57,7.06,6.35,11.07
Goldfish,17.7,,13.98,7.31
Bass,18.07,6.55,33.73,6.34
,26.48,7.99,1.12,5.84
Clownfish,27.32,8.11,1.09,5.73
Goldfish,20.06,8.27,11.73,7.74
Clownfish,24.7,8.26,0.18,6.93
Trout,13.16,7.22,4.13,8.45
Catfish,27.0,6.92,85.84,5.4
Catfish,25.82,6.05,,4.52
Goldfish,20.7,,19.81,7.9
Clownfish,27.71,8.0,1.08,6.51
Eel,15.09,6.39,12.21,4.29
Catfish,27.04,6.17,92.57,5.29
Trout,14.66,7.29,7.4,10.3
Salmon,,6.91,0.19,6.12
Salmon,11.0,7.41,6.36,9.93
Tilapia,24.58,6.6,33.47,6.31
Bass,,7.45,14.46,9.89
Goldfish,16.26,7.77,5.84,
Eel,19.75,6.8,14.88,
Goldfish,18.85,8.11,7.78,7.33
Tilapia,27.65,7.25,10.87,5.73
Salmon,13.58,7.44,0.88,10.29
Catfish,26.56,7.56,8.33,4.74
Clownfish,25.4,8.11,3.14,7.88
Salmon,8.73,7.33,8.75,6.53
Salmon,14.77,6.88,9.35,9.59
Catfish,25.36,7.4,74.01,6.33
Goldfish,10.99,,10.97,
Trout,15.48,6.78,5.33,9.19
Trout,10.39,7.36,3.55,10.18
Bass,22.25,7.28,22.38,7.78
Catfish,26.54,7.8,75.62,4.68
Eel,9.68,7.82,19.47,3.66
Bass,23.82,6.63,43.31,6.68
,21.94,6.95,7.45,5.51
Salmon,9.54,6.83,6.03,6.72
Catfish,26.56,7.85,70.78,6.69
Bass,18.35,7.03,26.89,6.35
Eel,14.79,6.15,11.23,5.77
Catfish,20.02,6.88,39.79,4.09
Catfish,27.28,7.79,25.12,3.57
Tilapia,22.16,6.55,30.6,
Tilapia,28.63,6.59,22.12,7.8
Tilapia,28.12,7.15,27.36,7.49
,16.62,8.24,16.08,7.48
Clownfish,24.37,8.11,3.0,6.78
Salmon,,7.28,8.85,7.14
Bass,15.61,6.28,,6.01
Eel,20.63,6.45,25.9,6.96
Catfish,23.02,6.92,51.25,5.13
Eel,21.19,7.76,14.88,5.46
Eel,10.14,7.46,16.23,6.49
Salmon,8.58,6.57,5.36,8.4
Eel,14.6,7.58,20.83,4.89
Catfish,25.42,6.7,10.31,6.83
Tilapia,25.51,7.83,21.44,7.19
Salmon,11.17,6.79,8.31,9.81
,23.92,7.71,10.24,6.75
Tilapia,23.88,7.2,47.61,5.37
Salmon,13.2,7.06,5.36,10.45
Clownfish,27.49,8.16,4.09,6.37
Goldfish,15.22,7.84,13.59,7.67
Salmon,8.21,6.8,9.33,9.51
Bass,19.35,6.25,13.28,6.76
Salmon,,7.29,,7.0
Catfish,,7.03,75.74,
Trout,10.44,7.28,3.16,9.01
Clownfish,27.17,8.33,0.76,5.2
Bass,17.04,7.12,11.22,4.6
Tilapia,,7.72,33.16,7.06
Catfish,25.11,7.98,73.94,3.51
Goldfish,12.89,,15.56,7.65
Bass,18.22,6.57,,4.34
Tilapia,23.28,6.78,26.51,4.92
Clownfish,,8.19,3.18,5.93
Salmon,12.06,7.26,4.33,6.25
Trout,13.41,7.18,1.59,9.9
Goldfish,10.42,8.03,11.31,
Tilapia,25.98,6.86,14.38,4.93
Clownfish,26.81,8.28,3.85,6.11
Eel,8.87,7.74,20.54,7.41
Bass,15.42,7.24,30.08,5.88
Tilapia,27.64,7.26,36.27,7.04
Bass,,6.7,10.24,5.99
Tilapia,26.12,6.92,18.56,7.23
Tilapia,28.23,6.88,,4.66
Salmon,10.85,7.41,9.55,6.78
Tilapia,26.32,6.87,15.96,6.74
Tilapia,24.21,6.97,,5.4
Goldfish,10.87,7.25,11.5,5.58
Goldfish,,8.14,,7.79
,14.35,6.73,1.9,9.58
Trout,17.31,7.28,9.25,10.52
Goldfish,18.15,7.95,14.65,6.4
Eel,5.5,7.49,27.35,3.83
Salmon,8.78,6.62,6.43,6.92
Clownfish,24.27,8.13,3.01,6.9
Catfish,20.99,7.54,73.61,6.45
Salmon,,7.14,,
Clownfish,25.62,8.35,3.16,7.2
Tilapia,22.74,7.34,39.72,5.36
Goldfish,21.48,8.5,17.03,7.23
Salmon,9.98,7.15,5.15,6.34
,7.56,7.54,21.05,4.0
Salmon,13.49,7.09,4.07,6.11
Salmon,11.05,7.18,4.52,6.09
Salmon,11.49,6.64,5.89,8.15
Trout,17.16,7.21,9.93,
Trout,13.02,6.95,6.32,7.3
Goldfish,20.06,7.72,12.72,5.9
Tilapia,27.98,7.29,20.16,7.78
Clownfish,26.96,8.13,0.42,5.53
Bass,24.54,7.28,48.54,9.71
Salmon,10.89,7.01,2.34,10.94
Trout,14.05,6.69,4.41,7.7
Catfish,26.7,7.08,39.93,4.2
Salmon,12.74,6.96,9.97,8.43
,23.11,7.89,21.8,7.53
Trout,17.3,6.58,8.22,10.99
Tilapia,23.4,7.42,18.24,6.53
Clownfish,26.4,8.23,3.59,5.8
Eel,17.55,7.49,29.76,7.42
Bass,,7.48,46.45,4.88
Goldfish,16.7,7.98,19.51,7.2
Trout,12.9,7.47,8.43,8.82
Bass,22.27,6.6,46.84,9.19
Salmon,8.76,7.43,5.41,
Catfish,22.51,7.73,59.87,5.75
Tilapia,27.86,7.73,10.38,4.29
Trout,10.55,6.85,9.45,10.07
,28.36,7.81,23.17,
Clownfish,25.15,8.39,2.23,6.83
Bass,17.39,6.91,12.51,5.87
